Petition_Title,Goal Signature,Current Signature
Provide Libraries for all Public Schools in Nigeria #RightToLearn,"of 7,500 goal","7,165 signed"
Demand More Seats in Politics for Nigerian Women. Support Agender35 Now!,"of 10,000 goal","7,835 signed"
Ensure that the Disability Right law is enforced In Educational Institutions,"of 75,000 goal","67,413 signed"
Stop Police Brutality against Youth Protesters in NIGERIA,"of 150,000 goal","124,014 signed"
Sexual assaulters in Nigerian schools should be investigated and adequately punished,"of 15,000 goal","11,575 signed"
Arrest Nigerian IG of Police for Crimes Against Humanity,"of 300,000 goal","283,733 signed"
Basic Mental Health Education in Schools,"of 1,000 goal",736 signed
Raise the age of consent in Nigeria from 11 to 18.,"of 500,000 goal","468,070 signed"
End and Demand Justice for Police Brutality in Nigeria,"of 75,000 goal","61,333 signed"
THE 7-POINT DEMANDS,"of 75,000 goal","57,605 signed"
END SARS,"of 150,000 goal","120,702 signed"
Let National Assembly & the State Houses of Assembly be on Part-Time & on Allowances Only.,"of 75,000 goal","54,351 signed"
WE DESERVE A BETTER NIGERIA AND GOOD GOVERNANCE.,"of 50,000 goal","39,465 signed"
Petition for Electoral Reform in Nigeria To Allow Electronic and Diaspora Voting,"of 2,500 goal","1,928 signed"
ELECTORAL REFORMS PETITION,"of 25,000 goal","17,169 signed"
SUPPORT FOR A BLENDED LEARNING MODEL IN PUBLIC PRIMARY & SECONDARY SCHOOLS ACROSS LAGOS.… Read more,"of 10,000 goal","8,587 signed"
"Visa ban for election riggers, their families and their violent accomplices.","of 35,000 goal","33,190 signed"
Provide Libraries for all Public Schools in Nigeria #RightToLearn,"of 7,500 goal","7,165 signed"
Demand More Seats in Politics for Nigerian Women. Support Agender35 Now!,"of 10,000 goal","7,835 signed"
Ensure that the Disability Right law is enforced In Educational Institutions,"of 75,000 goal","67,413 signed"
Stop Police Brutality against Youth Protesters in NIGERIA,"of 150,000 goal","124,014 signed"
Sexual assaulters in Nigerian schools should be investigated and adequately punished,"of 15,000 goal","11,575 signed"
Arrest Nigerian IG of Police for Crimes Against Humanity,"of 300,000 goal","283,733 signed"
Basic Mental Health Education in Schools,"of 1,000 goal",r
Raise the age of consent in Nigeria from 11 to 18.,"of 500,000 goal","468,070 signed"
End and Demand Justice for Police Brutality in Nigeria,"of 75,000 goal","61,333 signed"
THE 7-POINT DEMANDS,"of 75,000 goal","57,605 signed"
END SARS,"of 150,000 goal","120,702 signed"
Let National Assembly & the State Houses of Assembly be on Part-Time & on Allowances Only.,"of 75,000 goal","54,351 signed"
WE DESERVE A BETTER NIGERIA AND GOOD GOVERNANCE.,"of 50,000 goal","39,465 signed"
Petition for Electoral Reform in Nigeria To Allow Electronic and Diaspora Voting,"of 2,500 goal","1,928 signed"
ELECTORAL REFORMS PETITION,"of 25,000 goal","17,169 signed"
SUPPORT FOR A BLENDED LEARNING MODEL IN PUBLIC PRIMARY & SECONDARY SCHOOLS ACROSS LAGOS.… Read more,"of 10,000 goal","8,587 signed"
"Visa ban for election riggers, their families and their violent accomplices.","of 35,000 goal","33,190 signed"
Provide Libraries for all Public Schools in Nigeria #RightToLearn,"of 7,500 goal","7,165 signed"
Demand More Seats in Politics for Nigerian Women. Support Agender35 Now!,"of 10,000 goal","7,835 signed"
Ensure that the Disability Right law is enforced In Educational Institutions,"of 75,000 goal","67,413 signed"
Stop Police Brutality against Youth Protesters in NIGERIA,"of 150,000 goal","124,014 signed"
Sexual assaulters in Nigerian schools should be investigated and adequately punished,"of 15,000 goal","11,575 signed"
Arrest Nigerian IG of Police for Crimes Against Humanity,"of 300,000 goal","283,733 signed"
Basic Mental Health Education in Schools,"of 1,000 goal",736 signed
Raise the age of consent in Nigeria from 11 to 18.,"of 500,000 goal","468,070 signed"
End and Demand Justice for Police Brutality in Nigeria,"of 75,000 goal","61,333 signed"
THE 7-POINT DEMANDS,"of 75,000 goal","57,605 signed"
END SARS,"of 150,000 goal","120,702 signed"
Let National Assembly & the State Houses of Assembly be on Part-Time & on Allowances Only.,"of 75,000 goal","54,351 signed"
WE DESERVE A BETTER NIGERIA AND GOOD GOVERNANCE.,"of 50,000 goal","39,465 signed"
Petition for Electoral Reform in Nigeria To Allow Electronic and Diaspora Voting,"of 2,500 goal","1,928 signed"
ELECTORAL REFORMS PETITION,"of 25,000 goal","17,169 signed"
SUPPORT FOR A BLENDED LEARNING MODEL IN PUBLIC PRIMARY & SECONDARY SCHOOLS ACROSS LAGOS.… Read more,"of 10,000 goal","8,587 signed"
"Visa ban for election riggers, their families and their violent accomplices.","of 35,000 goal","33,190 signed"
Provide Libraries for all Public Schools in Nigeria #RightToLearn,"of 7,500 goal","7,165 signed"
Demand More Seats in Politics for Nigerian Women. Support Agender35 Now!,"of 10,000 goal","7,835 signed"
Ensure that the Disability Right law is enforced In Educational Institutions,"of 75,000 goal","67,413 signed"
Stop Police Brutality against Youth Protesters in NIGERIA,"of 150,000 goal","124,014 signed"
Sexual assaulters in Nigerian schools should be investigated and adequately punished,"of 15,000 goal","11,575 signed"
