,Date Created,location,Tweet
0,19/07/2021 07:37,Remote ,@modelafrique @YeyeOlokun I sincerely don’t thing Nigeria can get better because they get basic things done
1,19/07/2021 07:37,,"Innoson Vehicle Manufacturing is now offering gas-powered autos.

Excellent extension, Nigeria should be using more… https://t.co/1Zr0MllFC7"
2,19/07/2021 07:37,"Lagos, Nigeria","*British Deputy Envoy Lauds Nigerians’ Resilience Despite Challenges
*IGP Seeks Dialogue With PSC,May Abandon Suit… https://t.co/lvv4ZQVEPy"
3,19/07/2021 07:37,Ozo first... And Friends,"@YDhanyel @TonyCrusader @Sports_Doctor2 Human can adapt 2 any situation n area dey found themselves

Wat makes dem… https://t.co/lHyQaZoTY8"
4,19/07/2021 07:37,MENA,@Ayeniz info here https://t.co/uvse0mOIEE
5,19/07/2021 07:37,In space,@ShehuSani You’re part of Nigeria problem
6,19/07/2021 07:37,MENA,@okolidike27 info here https://t.co/uvse0mOIEE
7,19/07/2021 07:37,some place in the orbit of the black hole.,"💃💃💃💃💃💃💃💃💃💃💃💃💃💃
Yass! I did it. Published my first book.

Now y'all got to show me love 🙂
https://t.co/K6ek1I93pP

🌞⭐️#nonfiction"
8,19/07/2021 07:37,,@oba_jero Same goes for the Police. The Nigeria Police must earn the love of Nigerians. It must work to prove itsel… https://t.co/1c17NMSJqP
9,19/07/2021 07:37,,"""This could mean lowering tariffs on products including rice from Pakistan and trainers from Nigeria."" https://t.co/CpR719hnce"
10,19/07/2021 07:37,West Africa - Nigeria.,@MrOdanz @sunnychuks @Tweetervoice *Egba. There's a detailed account (on TheNews website) about the Sarakis by the… https://t.co/wbLcLlPNzJ
11,19/07/2021 07:37,Kd city,@ElPluribusUnum @nassnigeria @ahmadlawan_2 @BOGbadamosi @SaharaReporters @savndaniel @ARISEtv @ConcernedNIG Ahmed L… https://t.co/sVjhl71y23
12,19/07/2021 07:37,"Lagos, Nigeria",Does anyone even take in iOS Development Interns in Nigeria?
13,19/07/2021 07:37,"Villabassa, Trentino-Alto Adig","@whitenigerian Experts honesty citizens security is doing not with color religion's E.t.c, eney were you find your… https://t.co/6auxMkIAdb"
14,19/07/2021 07:37,Nigeria,"Tag that one person that will #motivate you to finish this 🤣

Have a Bee-utiful week ❤️ @ Lagos, Nigeria https://t.co/TdY7VFep80"
